Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
Aardvark,cub,sow,boar,N/A,orycteropodian,
Albatross,chick,N/A,N/A,flock rookery gam (when searching for mates),diomedeid,
Alligator,hatchling,cow,bull,congregation,eusuchian,
Alpaca,cria,hembra,macho,herd,camelid,
Anole,hatchling,,,,dactyloidian,
Ant,larva pupa,queen (fertile) worker soldier,drone,army bike colony nest swarm,formic myrmicine,
Anteater,pup,sow,boar,N/A,vermilinguan,
Antelope,calf,doe,buck,herd cluster tribe,alcelaphine bubaline antilopine,
Ape,baby child infant,N/A,N/A,group family band shrewdness troop,simian,
Armadillo,pup baby,sow,boar,N/A,cingulatan,
Ass/donkey,foal,jenny,jack,herd coffle drove pace,asinine,
Baboon,infant,babuina,,flange[note 1] troop,,
Badger,cub kit,sow,boar,cete colony,musteline,
Barracuda,N/A,N/A,N/A,school,percesocine,
Bat,pup,N/A,N/A,cloud colony flock camp,pteropine noctillionine,
Bear (list),cub,sow she-bear,boar,sleuth sloth,ursine,
Beaver,kit kitten pup,N/A,N/A,family colony,castoridine,
Bee,larva pupa,queen worker [note 2],drone,cast (a second swarm) cluster (of workers around the queen) colony drift erst grist hive nest rabble stand swarm,apic apian apiarian,
Binturong,cub,,,,,
Bird (list) Also see Aves,chick,hen,cock,flock flight pod,avian,
Bison,calf,cow,bull,herd,bovine bubaline,
Bluebird,,,,,,
Boar (wild pig) Also see Pig,piglet farrow shoat/shote (just weaned),sow,,herd singular sounder (groups of 12 or more),,
Bobcat,bobkitten,,,,feline,
Budgerigar / Budgie,chick,,,,psittacine,
Buffalo,calf,"cow, heifer",bull,herd troop gang obstinancy,bovine,
Butterfly,caterpillar larva pupa chrysalis,,,flight flutter rabble swarm,pieridine pierine lepidopteran,
Camel,calf,cow,bull,caravan flock herd train,camelid cameline,
Capybara,pup,,,,,
Caracal,kitten,,,,feline,
Caribou,calf,doe,buck,herd,rangiferine,
Cassowary,hatchling chick,,,N/A,ratite,
Cat (list),kitten kit,molly queen pussy,tom king gib (castrated male),clowder cluster clutter glaring pounce kindle (kittens) litter (kittens) pillow (kittens),feline,
Caterpillar,,,,army,nymphal-lepidopteran,
Cattle[note 3] (list),calf,cow,bull,herd drove yoke (oxen) team (oxen),bovine[note 4] taurine (male) vaccine (female) vituline (young),beef veal
Chamois,calf,doe,bull,herd,rupicaprine,
Cheetah,cub,she-cheetah,cheetah,coalition (male),feline,
Chicken (list),chick,hen pullet,rooster cock cockerel capon (castrated male),flock brood peep (chicks) clutch (eggs),galline,poultry
Chimpanzee,infant,empress,emperor blackback,troop tribe,panine,
Chinchilla,kit,velvet sow,boar bull,,chinchilline,
Chough,chick,,,chattering clattering,corvine,
Coati,pup kit,sow,boar,troop,nasuine,
Cobra,,,,quiver,elapid,
Cockroach,nymph,,,intrusion,blattid,
Cod,codling,,,school,gadoid gadine,
Cormorant,chick shaglet,,,gulp flight,,
Cougar,cub kitten,she-cougar,,,feline,
Coyote,pup puppy cub whelp,bitch,dog,pack,canine,
Crab,zoea,hen jenny,cock jimmy,,cancrine,
Crane,chick colt,,,herd sedge sege siege,alectorine,
Cricket,nymph,,,,,
Crocodile,hatchling,cow,bull,bask congregation float,crocodilian,
Crow,,,,murder,corvine,
Cuckoo,,,,,,
Curlew,,,,herd,,
Deer,calf fawn,doe hind cow,buck stag bull hart (red deer),bunch herd mob rangale,cervine elaphine,venison humble (organ meat)
Dhole,pup,,,pack,,
Dingo,pup,,,pack,,
Dinosaur (list),hatchling juvenile calf (herbivores) chick (carnivores),cow (herbivores) doe (carnivores),bull (herbivores) buck (carnivores),herd (herbivores) pack (carnivores),dinosaurian,
Dog (list),pup puppy whelp,bitch,dog stud sire,pack (wild) kennel mute litter (young) cowardice (curs) comedy (boxers) cry (hounds),canine,
Dogfish Also see Shark,,,,troop,selachian squaloid,"Spiny dogfish capeshark (USA) flake (UK, AUS) huss (UK) kahada (CAN) rigg (UK) rock salmon (UK)"
Dolphin,calf pup,cow,bull,school pod herd team,delphine,
Donkey (list)- See AsDove,chick,hen,cock,arc cote dole dule flight piteousness pitying,columbine,
Dragonfly,nymph,queen,king drake,cluster flight,anisopteran,
Duck (list) Also see Mallard,duckling,duck hen,drake cock,On land:  flock  herd  badling  brace  safe  sord  sore  waddling  On water:  bunch  paddling  raft  In flight:  skein  string  team,anatine  fuliguline,poultry
Dugong,calf,cow,bull,herd,dugongine,
Dunlin,chick,,,fling,,
Eagle,eaglet fledgling,N/A,N/A,convocation,aquiline,
Echidna,"puggle (in common use, but not scientifically endorsed)",,,N/A,tachyglossine,
Eel,leptocephalus (larva) elver (juvenile),N/A,N/A,bed swarm,anguilline,
Eland,calf,cow,bull,herd,bovine,
Elephant,calf,cow,bull,herd memory parade,elephantine proboscine proboscidean,
Elephant seal,calf,cow,bull,herd pack,miroungan,
Elk (wapiti),calf,cow,bull,gang herd,cervine,venison
Emu,chick hatchling,,,mob,,
Falcon,eyass/eyas,falcon,tiercel tercel terzel,cast,acciptrine,
Ferret,kit,jill,hob,busyness business,musteline,
Finch,chick,hen,cock,charm,fringilline,
Fish (list),fry fingerling,,,school,piscine,
Fisher,kit,,,,gulonine musteline,
Flamingo,chick,,,flamboyance stand,phoenicopterine,
Fly,maggot,,,business cloud swarm,dipterous,
Flycatcher,chick,,,,,
Fox,cub kit pup,vixen,tod dog reynard,leash skulk,vulpine,
Frog,polliwog tadpole froglet,,,army,ranine,
Gaur,calf,cow,bull,herd,bovine gaurine,garabeef
Gazelle,calf,cow,bull,herd,gazelline,
Gecko,hatchling,dam (herpetoculture),sire (herpetoculture),,,
Genet,kit,,,,vivverine,
Gerbil,pup,doe,buck,horde,gerbilline,
Giant panda,cub,sow,boar,sleuth embarrassment ,ailuropodine,
Giraffe,calf,cow,bull,herd corps tower,giraffine,
Gnat,larva,,,cloud horde rabble swarm,,
Gnu,calf,cow,bull,herd implausibility,,
Goat (list),kid,nanny doe doeling,billy buck buckling wether (castrated),herd flock tribe trip trippe,caprine,chevon cabrito mutton
Goldfinch,,,,charm,cardueline,
Goosander,,,,dopping,,
Goose,gosling,goose,gander,On land:  flock  gaggle  plump  In flight:  skein  team  wedge  chevron[citation needed],anatine anserine,poultry
Gorilla,infant,N/A,blackback silverback,band troop whoop,simian,
Goshawk,,,,flight,,
Grasshopper,nymph,,,cloud swarm,caeliferian,
Grouse,,,,covey pack,tetraonine,
Guanaco,chulengo,,,herd,camelid,
Guinea fowl,keet,hen,cock,rasp flock,numidine,poultry
Guinea pig,pup,sow,boar,herd,,cuy
Gull,chick,hen,cock,colony flock,larine,
Hamster,pup,doe,buck,horde,cricetid,
Hare,leveret,doe jill,buck jack,band down drove flick husk,leverine[citation needed] leporine,
Hawk,eyas,hen,tiercel,cast[note 5] aerie[note 6] staff[note 7] leash[note 8] flight[note 9] flock  Soaring in large groups:  kettle  boil  cauldron,accipitrine,
Hedgehog,hoglet piglet pup,sow,boar,array,erinaceine,
Hermit crab,zoea,,,,paguroid,
Heron,chick,hen,cock,flight sedge sege siege,ardeidine,
Herring,,,,army glean shoal,clupeidean,
Hippopotamus,calf,cow,bull,sea herd thunder,hippopotamine,
Hoatzin,chick,,,,,
Hoopoe,chick,,,,,
Hornet,larvae pupae,queen,drone,bike nest swarm,vespine,
Horse (list),foal colt (male) filly (female) gelding (castrated male),mare dam,stallion stud,stable stud harras herd (wild horses) band (wild horses) team (work horses) rag (colts) string (ponies) field (racehorses),equine,
Human,baby child infant girl (female) boy (male),woman lady (colloquial),man gentleman (colloquial),group family band crowd clan tribe horde,human simian,
Hummingbird,chick,hen,cock,,trochiline trochilidine,
Hyena,cub pup whelp,bitch,dog,packcackle clan,hyenine,
Ibex,kid,nanny,billy,herd,caprine,
Ibis,chick,,,,threskiornithine,
Iguana,hatchling,cow,bull,,,
Impala,calf,ewe,ram,herd,,
Jackal,pup,,,pack,,
Jaguar,cub,,,prowl leap parade,,
Jay,chick,hen,cock,band party scold,corvine,
Jellyfish,planula polyp ephyra,,,bloom brood fluther smack smuth,scyphozoan,
Jerboa,,,,,dipodine,
Kangaroo,joey,flyer doe jill roo,boomer buck jack,court herd troop mob,macropodine,
Kingbird,chick,,,,tyrannid,
Kingfisher,chick,,,,alcedine,
Kinkajou,pup kit,sow,boar,troop convergence,potosine,
Kite,chick,,,,accipitrine,
Koala,joey,doe,buck,,phascolarctine,
Kodkod,kitten,,,,feline,
Komodo dragon,hatchling chick calf,cow hen,bull cock,,varanine,
Kookaburra,chick,,,,,
Kouprey,calf,cow,bull,herd,sauveline bovine,
Kudu,calf,cow,bull,herd,tragelaphine,
Langur,infant,,,troop,colobine,
Lapwing,chick,,,deceit desert,vanelline,
Lark,chick,hen,cock,exaltation,alaudine,
Lechwe,calf,,,herd,,
Lemur,infant,,,conspiracy,lemurine,
Leopard,cub,leopardess,leopard,leap lepe,pardine,
Lion,cub,lioness,lion,pride sawt,leonine,
Lizard,hatchling,,,,,
Llama,cria,hembra dam,macho stud,herd flock,camelid,
Lobster,,hen,cock,risk,homarine,
Locust (list),nymph,N/A,N/A,cloud host swarm,caelifera,
Loris,infant,,,colony,lorisine,
Louse,nymph,N/A,N/A,colony,pediculine,
Lynx,kitten,,,,feline,
Lyrebird,chick,hen,cock,musket,menurine,
Macaque,infant,,,,simian,
Macaw,hatchling,,,,,
Magpie,chick,hen,cock,flock,garruline,
Mallard Also see Duck,duckling,hen,greenhead,sord suit,anatine,poultry
Mammoth,calf,cow,bull,herd pack,mammutine,
Manatee,calf,cow,bull,herd,manatine sirenian,
Mandrill,infant,N/A,N/A,horde,simian,
Margay,kitten,,,,feline,
Marmoset,infant,,,,simian,
Marmot,,,,,,
Meerkat,meerkitten,N/A,N/A,,herpestine,
Mink,cub kit,sow,boar,,musteline,
Mole,pup,sow,boar,labor,talpine,
Mongoose,pup,,,troop committee delegation,herpestine,
Monkey,infant,N/A,N/A,troop,simian,
Moose,calf,cow,bull,herd,cervine,venison
Mosquito,nymph wriggler tumbler,N/A,N/A,swarm cloud,aedine anopheline,
Mouse,kitten pup  As pet food:  pinky/fuzzy/crawler/hopper,doe,buck,colony nest,murine,
Myna,,,,,,
Narwhal,calf,,,,,
Newt,eft,,,,pleurodeline,
Nightingale,chick,hen,cock,watch,philomelian,
Nilgai,,,bull,,bovine,
Ocelot,kitten,queen,torn,clowder,feline,
Octopus,fry,hen,,consortium,octopodine,
Okapi,calf,cow,bull,herd,okapine,
Oncilla,kitten,,,,feline,
Opossum,joey,jill,jack,passel,didelphine,
Orangutan,baby child infant,,,family troop band,simian,
Oryx (gemsbok),calf,,,herd,,
Ostrich,hatchling chick,hen,cock,flock troop,ratite struthious,
Otter,pup whelp,sow,boar,romp family,musteline lutrine,
Ox See CattlOwl,fledgling owlet,,,parliament,strigine,
Oyster,spat,,,bed,ostracine,
Panther,cub,pantheress,panther,,pantherine,
Parrot,chick,hen,cock,flock,psittacine,
Panda- See Giant pandPartridge,chick,hen chantelle,cock,,perdicine,
